2007.009,80
2025.56,80
2085.466,150
2096.106,200
2096.248,120
2562.123,80
2567.121,90
2623.107,80
2629.885,80
2636.069,90
2638.289,80
2644.097,80
2762.921,80
2792.019,90
2794.221,80
2809.485,100
2906.592,80
2906.816,80
2910.061,90
2910.408,90
2911.138,80
2915.122,80
2925.618,80
2932.103,80
2940.653,80
2946.044,90
2955.725,150
2963.236,150
2967.184,150
2972.997,100
2974.7189,30
2979.461,100
2982.6696,30
3001.668,150
3017.311,120
3027.016,300
3028.864,300
3030.787,100
3034.461,120
3035.923,100
3037.72,100
3039.586,100
3044.088,100
3045.556,100
3047.556,120
3054.345,100
3054.677,100
3057.3907,30
3059.106,100
3062.491,100
3063.301,100
3070.887,100
3071.529,100
3075.731,100
3088.166,120
3092.092,100
3092.901,120
3094.006,100
3095.103,100
3097.131,100
3117.98,100
3118.16,120
3141.332,300
3143.721,100
3148.681,100
3164.429,100
3165.648,100
3188.743,100
3194.579,120
3198.586,500
3208.965,60
3209.356,120
3213.735,120
3214.329,150
3218.193,150
3224.818,120
3229.573,120
3230.07,200
3230.419,120
3232.022,120
3232.372,150
3243.396,100
3244.095,100
3248.345,100
3250.355,100
3297.726,150
3309.74,150
3319.722,300
3323.745,1000
3327.153,150
3329.158,100
3334.836,200
3344.395,150
3345.453,300
3345.829,150
3355.016,200
3357.82,120
3360.597,200
3362.161,120
3362.707,100
3367.218,120
3369.8076,50
3369.9072,70
3371.799,100
3378.216,500
3388.417,150
3388.945,120
3392.798,300
3404.822,100
3406.947,120
3413.148,100
3416.914,120
3417.688,120
3417.9031,50
3418.0055,5
3428.687,120
3447.7024,20
3454.1944,10
3456.61,100
3459.321,100
3460.5237,10
3464.3382,10
3466.5781,20
3472.5706,50
3479.519,150
3480.718,200
3481.933,200
3498.0636,10
3501.2159,20
3515.1902,20
3520.4711,100
3542.847,120
3557.805,120
3561.198,100
3568.502,250
3574.181,100
3574.612,200
3593.5257,50
3593.6389,30
3600.1685,10
3633.664,10
3643.927,150
3664.073,200
3682.2421,10
3685.7352,10
3694.213,200
3701.2244,4
3709.622,150
3713.079,250
3727.107,250
3766.259,800
3777.133,1000
3818.427,100
3829.749,120
